Wavelength (nm),,Transmittance,,Reflectance
400,,0.001669069,,0.994694272
401,,0.001400118,,0.995271236
402,,0.001267457,,0.995668018
403,,0.001233291,,0.995929459
404,,0.001287174,,0.99607362
405,,0.00144015,,0.996093032
406,,0.001728062,,0.995955834
407,,0.002223275,,0.995592118
408,,0.003050356,,0.994878619
409,,0.00436324,,0.99366401
410,,0.006106738,,0.992006531
411,,0.00746591,,0.9907303
412,,0.007387333,,0.990892884
413,,0.006297448,,0.992061195
414,,0.005188173,,0.993237369
415,,0.00442322,,0.994057099
416,,0.003999726,,0.99452536
417,,0.003856399,,0.994703854
418,,0.003960842,,0.99462586
419,,0.004324422,,0.994279535
420,,0.005011041,,0.993600046
421,,0.006160434,,0.992446464
422,,0.008042778,,0.990545422
423,,0.011179331,,0.987371833
424,,0.016614426,,0.981873767
425,,0.026558605,,0.971828404
426,,0.045980596,,0.952244792
427,,0.086556924,,0.911407194
428,,0.174691942,,0.822861748
429,,0.350143417,,0.646881066
430,,0.578508314,,0.418239798
431,,0.694768154,,0.302254537
432,,0.70171738,,0.295666261
433,,0.708528678,,0.289004922
434,,0.755196716,,0.242307861
435,,0.835690153,,0.161714395
436,,0.914446781,,0.082927977
437,,0.940167864,,0.057369008
438,,0.893095626,,0.104778326
439,,0.806011824,,0.192236967
440,,0.721662249,,0.276895056
441,,0.6616906,,0.337084763
442,,0.630830853,,0.368087222
443,,0.627524415,,0.371483208
444,,0.648984196,,0.350077337
445,,0.691999002,,0.307095425
446,,0.751779849,,0.247340357
447,,0.820425735,,0.178725246
448,,0.886838349,,0.112356294
449,,0.939706553,,0.059545561
450,,0.972500079,,0.026818264
451,,0.986245171,,0.013140337
452,,0.987512321,,0.011933883
453,,0.983953098,,0.015543793
454,,0.980972211,,0.018564936
455,,0.980622798,,0.01894591
456,,0.981958562,,0.017635998
457,,0.98204189,,0.017575697
458,,0.977284537,,0.022355481
459,,0.964898275,,0.034764445
460,,0.944014713,,0.05567078
461,,0.915981482,,0.083726401
462,,0.88374932,,0.115979876
463,,0.850802757,,0.148946119
464,,0.820232652,,0.179533931
465,,0.79426241,,0.205519709
466,,0.774189916,,0.225605781
467,,0.760554818,,0.239252976
468,,0.753361153,,0.246457719
469,,0.752266293,,0.247562993
470,,0.75670958,,0.243129523
471,,0.765986534,,0.233861825
472,,0.779285307,,0.220571917
473,,0.79570298,,0.204162773
474,,0.814259807,,0.185614146
475,,0.833925265,,0.16595654
476,,0.85366699,,0.14622231
477,,0.872525924,,0.127370545
478,,0.889709072,,0.110194173
479,,0.904680866,,0.095228699
480,,0.917224824,,0.082690665
481,,0.927450368,,0.072470704
482,,0.935735015,,0.064191323
483,,0.942609559,,0.057321714
484,,0.948610205,,0.051325655
485,,0.954127614,,0.045812509
486,,0.959279995,,0.040664019
487,,0.963833462,,0.036113971
488,,0.967188768,,0.03276163
489,,0.96844961,,0.031503431
490,,0.966579434,,0.033376072
491,,0.960631944,,0.039325917
492,,0.950008499,,0.049951612
493,,0.934667833,,0.065294426
494,,0.915213232,,0.084751125
495,,0.892822933,,0.107143487
496,,0.869050467,,0.130917974
497,,0.845569512,,0.15440089
498,,0.823943781,,0.176028484
499,,0.805470443,,0.194503564
500,,0.791106612,,0.208869
501,,0.781458104,,0.218518957
502,,0.776799571,,0.223178779
503,,0.777100988,,0.222878506
504,,0.782045643,,0.21793487
505,,0.791038202,,0.208943232
506,,0.803213019,,0.196769254
507,,0.817461445,,0.182521597
508,,0.832500545,,0.167483227
509,,0.84699745,,0.15298704
510,,0.859744693,,0.140240517
511,,0.869854023,,0.130131924
512,,0.876914172,,0.123072533
513,,0.881059657,,0.118927817
514,,0.882925649,,0.117062598
515,,0.883505147,,0.116483856
516,,0.883955461,,0.116034263
517,,0.885405257,,0.114585143
518,,0.888796353,,0.111194665
519,,0.894770136,,0.105221437
520,,0.903591469,,0.096400596
521,,0.91509864,,0.084893856
522,,0.928674723,,0.071318149
523,,0.943249617,,0.056743586
524,,0.95735573,,0.042637767
525,,0.969264888,,0.030728881
526,,0.977220141,,0.022773886
527,,0.979739909,,0.020254373
528,,0.975924695,,0.024069849
529,,0.965667903,,0.034326913
530,,0.94969106,,0.050304033
531,,0.92938928,,0.070606086
532,,0.9065486,,0.093447029
533,,0.883035673,,0.116960207
534,,0.860546487,,0.139449635
535,,0.840454938,,0.159541409
536,,0.823756666,,0.176239888
537,,0.811077618,,0.188919119
538,,0.802713467,,0.19728343
539,,0.798673505,,0.201323531
540,,0.79871474,,0.201282417
541,,0.802363036,,0.197634226
542,,0.808926399,,0.191070954
543,,0.817511789,,0.182485645
544,,0.827060156,,0.172937354
545,,0.836413197,,0.163584386
546,,0.844418311,,0.155579345
547,,0.850064597,,0.149933136
548,,0.852625366,,0.147372448
549,,0.851771711,,0.148226192
550,,0.847623388,,0.15237461
551,,0.840720604,,0.159277496
552,,0.831926763,,0.168071441
553,,0.822292223,,0.177706085
554,,0.812915819,,0.187082592
555,,0.804832815,,0.195165695
556,,0.798941383,,0.201057222
557,,0.795965681,,0.204033012
